STATE,NAME,2000 POVERTY,1990 POVERTY,1980 POVERTY,1970 POVERTY,1960 POVERTY
AL,PICKENS COUNTY,24.9,28.9,27.08,40.50,58.92
AL,PIKE COUNTY,23.1,27.2,27.37,38.90,62.27
AL,RANDOLPH COUNTY,17.0,18.9,23.23,32.00,50.72
AL,RUSSELL COUNTY,19.9,20.4,24.72,35.30,50.20
AL,SHELBY COUNTY,6.3,9.2,12.39,22.20,45.08
AL,ST. CLAIR COUNTY,12.1,14.8,15.61,25.80,44.53
AL,SUMTER COUNTY,38.7,39.7,33.65,53.10,74.08
AL,TALLADEGA COUNTY,17.6,20.2,20.80,25.60,45.57
AL,TALLAPOOSA COUNTY,16.6,16.0,17.35,25.90,40.67
AL,TUSCALOOSA COUNTY,17.0,20.1,20.85,25.80,40.71
AL,WALKER COUNTY,16.5,17.3,16.39,26.20,44.71
AL,WASHINGTON COUNTY,18.5,24.8,23.45,35.90,55.19
AL,WILCOX COUNTY,39.9,45.2,45.28,56.80,78.93
AL,WINSTON COUNTY,17.1,19.8,18.22,24.70,50.54
AK,ALASKA STATE,9.4,9.0,19.03,12.60,
AK,ALEUTIANS EAST BOROUGH,21.8,11.9,12.38,9.70,28.65
AK,ALEUTIANS WEST CENSUS AREA,11.9,9.0,,,
AK,ANCHORAGE COUNTY,7.3,7.1,7.35,6.50,8.23
AK,BARROW COUNTY,,,,26.70,49.57
AK,BETHEL CENSUS AREA,20.6,30.0,,,
AK,BETHEL CENSUS AREA COUNTY,,,31.33,,
AK,BETHEL COUNTY,,,,64.70,82.46
AK,BRISTOL BAY BOROUGH,9.5,5.1,4.14,33.40,31.11
AK,CORDOVA-MCCARTHY COUNTY,,,,15.10,20.99
AK,DENALI BOROUGH,7.9,,,,
AK,DILLINGHAM CENSUS AREA,21.4,24.6,,,
AK,DILLINGHAM CENSUS AREA COUNTY,,,22.70,,
AK,FAIRBANKS COUNTY,7.8,7.6,9.54,7.40,8.47
AK,HAINES BOROUGH,10.7,9.2,13.95,,
AK,JUNEAU CITY AND BOROUGH,6.0,5.6,4.14,5.50,8.49
AK,KENAI PENINSULA BOROUGH,10.0,7.7,11.70,8.90,30.23
AK,KETCHIKAN GATEWAY BOROUGH,6.5,4.2,7.42,11.50,13.45
AK,KOBUK CENSUS AREA COUNTY,,,27.01,,
AK,KOBUK COUNTY,,,,34.80,75.49
AK,KODIAK ISLAND BOROUGH,6.6,5.5,10.63,8.40,18.52
AK,KUSKOKWIM COUNTY,,,,58.50,75.41
AK,LAKE AND PENINSULA BOROUGH,18.9,20.0,,,
AK,LYNN CANAL-ICY STRAITS COUNTY,,,,,25.46
AK,LYNN CANAL-ICY STRAITS3 COUNTY,,,,14.00,
AK,MATANUSKA-SUSITNA BOROUGH,11.0,9.4,13.76,,
AK,NOME CENSUS AREA,17.4,22.4,,,
AK,NOME CENSUS AREA COUNTY,,,28.38,,
AK,NOME COUNTY,,,,34.80,59.36
AK,NORTH SLOPE BOROUGH,9.1,8.7,11.22,,
AK,NORTHWEST ARCTIC BOROUGH,17.4,18.5,,,
AK,PALMER-WASILLA-TALKEETNA COUNTY,,,,,21.14
AK,PALMER-WASILLA-TALKEETNA2 COUNTY,,,,23.60,
AK,PRINCE OF WALES COUNTY,,,,21.60,28.93
AK,PRINCE OF WALES OUTER KETCHIKAN CENSUS AREA,,9.1,,,
AK,PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA,12.1,,,,
AK,PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA COUNTY,,,11.03,,
AK,SEWARD COUNTY,,,,10.90,9.69
AK,SITKA CITY AND BOROUGH,7.8,4.8,4.87,9.90,12.39
AK,SKAGWAY-HOONAH-ANGOON CENSUS AREA,12.8,,,,
AK,SKAGWAY-YAKUTAT-ANGOON CENSUS AREA,,8.9,,,
AK,SKAGWAY-YAKUTAT-ANGOON CENSUS AREA COUNTY,,,13.11,,
AK,SOUTHEAST FAIRBANKS CENSUS AREA,18.9,14.2,,,
AK,SOUTHEAST FAIRBANKS CENSUS AREA COUNTY,,,16.54,,
AK,UPPER YUKON COUNTY,,,,27.60,65.32
AK,VALDEZ-CHITINA-WHITTIER COUNTY,,,,,22.28
AK,VALDEZ-CHITINA-WHITTLER COUNTY,,,,15.60,
AK,VALDEZ-CORDOVA CENSUS AREA,9.8,8.9,,,
AK,VALDEZ-CORDOVA CENSUS AREA COUNTY,,,12.09,,
AK,WADE HAMPTON CENSUS AREA,26.2,31.0,,,
AK,WADE HAMPTON CENSUS AREA COUNTY,,,38.07,,
AK,WADE HAMPTON COUNTY,,,,63.10,93.07
AK,WRANGELL-PETERSBURG CENSUS AREA,7.9,5.7,,,
AK,WRANGELL-PETERSBURG CENSUS AREA COUNTY,,,6.51,,
AK,WRANGELL-PETERSBURG COUNTY,,,,,15.30
AK,WRANGELL-PETERSBURG2 COUNTY,,,,12.90,
AK,YAKUTAT CITY AND BOROUGH,13.5,,,,
AK,YUKON-KOYUKUK CENSUS AREA,23.8,26.0,,,
AK,YUKON-KOYUKUK CENSUS AREA COUNTY,,,29.29,,
AK,YUKON-KOYUKUK COUNTY,,,,,51.69
AK,YUKON-KOYUKUK2 COUNTY,,,,24.30,
AZ,ARIZONA STATE,13.9,15.7,13.19,15.30,24.89
AZ,APACHE COUNTY,37.8,47.1,40.02,52.70,66.35
AZ,COCHISE COUNTY,17.7,20.3,14.95,16.10,24.87
AZ,COCONINO COUNTY,18.2,23.1,20.37,22.80,34.78
AZ,GILA COUNTY,17.4,18.3,16.24,19.40,29.22
AZ,GRAHAM COUNTY,23.0,26.7,19.34,24.70,35.83
AZ,GREENLEE COUNTY,9.9,12.6,8.81,10.10,22.92
AZ,LA PAZ COUNTY,19.6,28.2,,,
AZ,MARICOPA COUNTY,11.7,12.3,10.54,11.90,20.94
AZ,MOHAVE COUNTY,13.9,14.2,11.22,12.10,24.66
AZ,NAVAJO COUNTY,29.5,34.7,29.66,39.20,52.12
AZ,PIMA COUNTY,14.7,17.2,13.05,14.20,20.23
AZ,PINAL COUNTY,16.9,23.6,18.25,22.00,39.18
AZ,SANTA CRUZ COUNTY,24.5,26.4,18.12,24.40,36.02
AZ,YAVAPAI COUNTY,11.9,13.6,12.96,18.30,23.27
AZ,YUMA COUNTY,19.2,19.9,15.97,16.30,24.91
AR,ARKANSAS STATE,15.8,19.1,18.95,27.80,47.51
AR,ARKANSAS COUNTY,17.8,20.4,19.63,29.40,46.03
AR,ASHLEY COUNTY,17.5,20.9,20.90,30.50,47.36
AR,BAXTER COUNTY,11.1,16.3,12.10,26.90,45.16
AR,BENTON COUNTY,10.1,9.6,11.13,19.40,39.40
AR,BOONE COUNTY,14.8,13.9,17.26,23.30,44.08
AR,BRADLEY COUNTY,26.3,24.9,26.24,35.00,50.99
AR,CALHOUN COUNTY,16.5,15.6,24.70,31.00,58.80
AR,CARROLL COUNTY,15.5,15.2,18.51,22.70,45.90
AR,CHICOT COUNTY,28.6,40.4,39.98,52.30,67.34
AR,CLARK COUNTY,19.1,23.9,18.08,26.00,47.14
AR,CLAY COUNTY,17.5,21.2,22.52,36.30,49.48
AR,CLEBURNE COUNTY,13.1,17.3,20.14,36.90,57.21
AR,CLEVELAND COUNTY,15.2,19.0,17.48,34.30,58.15
AR,COLUMBIA COUNTY,21.1,24.4,22.84,30.60,46.27
AR,CONWAY COUNTY,16.1,16.5,17.47,28.40,52.22
AR,CRAIGHEAD COUNTY,15.4,17.0,14.99,22.70,41.74
AR,CRAWFORD COUNTY,14.2,16.3,16.13,25.40,46.09
AR,CRITTENDEN COUNTY,25.3,27.1,31.37,40.60,63.65
AR,CROSS COUNTY,19.9,25.4,22.42,35.10,60.74
AR,DALLAS COUNTY,18.9,22.3,17.30,29.60,57.85
AR,DESHA COUNTY,28.9,34.0,27.04,42.30,59.80
AR,DREW COUNTY,18.2,24.2,17.76,34.30,56.65
AR,FAULKNER COUNTY,12.5,13.8,13.57,20.20,45.38
AR,FRANKLIN COUNTY,15.2,20.4,18.09,30.00,50.22
AR,FULTON COUNTY,16.3,26.3,21.72,44.90,63.32
AR,GARLAND COUNTY,14.6,18.0,15.46,25.10,39.05
AR,GRANT COUNTY,10.2,14.9,15.47,18.00,46.98
AR,GREENE COUNTY,13.3,17.9,17.96,25.20,49.75
AR,HEMPSTEAD COUNTY,20.3,22.7,19.14,33.20,52.38
AR,HOT SPRING COUNTY,14.0,18.6,37.15,21.30,
AR,HOWARD COUNTY,15.5,18.6,16.12,20.60,46.53
AR,INDEPENDENCE COUNTY,13.0,17.1,15.65,28.10,55.91
AR,IZARD COUNTY,17.2,21.1,21.16,31.00,60.49
AR,JACKSON COUNTY,17.4,26.6,23.23,30.30,46.73
AR,JEFFERSON COUNTY,20.5,23.9,22.65,30.70,48.22
AR,JOHNSON COUNTY,16.4,20.1,17.97,30.00,53.43
AR,LAFAYETTE COUNTY,23.2,34.7,31.99,39.20,59.62
AR,LAWRENCE COUNTY,18.4,25.0,22.62,34.00,60.56
AR,LEE COUNTY,29.9,47.3,44.27,50.60,72.04
AR,LINCOLN COUNTY,19.5,26.2,26.71,44.40,63.58
AR,LITTLE RIVER COUNTY,15.4,19.3,19.44,26.40,55.24
AR,LOGAN COUNTY,15.4,19.3,22.28,30.90,55.06
AR,LONOKE COUNTY,10.5,14.9,17.83,33.00,55.67
AR,MADISON COUNTY,18.6,20.1,21.18,36.00,61.22
AR,MARION COUNTY,15.2,18.9,23.46,31.70,55.30
AR,MILLER COUNTY,19.3,22.4,19.19,22.40,46.45
AR,MISSISSIPPI COUNTY,23.0,26.2,26.33,35.30,59.19
AR,MONROE COUNTY,27.5,35.9,34.75,47.50,67.61
AR,MONTGOMERY COUNTY,17.0,23.8,22.72,31.20,51.06
AR,NEVADA COUNTY,22.8,20.3,22.25,36.40,57.83
AR,NEWTON COUNTY,20.4,29.6,31.73,46.30,73.04
AR,OUACHITA COUNTY,19.5,21.2,20.97,30.30,44.81
AR,PERRY COUNTY,14.0,20.3,16.72,36.30,62.10
AR,PHILLIPS COUNTY,32.7,43.0,39.76,48.20,62.84
AR,PIKE COUNTY,16.8,17.9,18.48,28.60,53.85
AR,POINSETT COUNTY,21.2,25.6,22.52,32.70,58.52
AR,POLK COUNTY,18.2,18.5,22.98,28.70,47.76
AR,POPE COUNTY,15.2,15.4,16.42,24.30,46.94
AR,PRAIRIE COUNTY,15.5,22.7,23.64,32.90,50.71
AR,PULASKI COUNTY,13.3,14.1,12.75,17.90,28.53
AR,RANDOLPH COUNTY,15.3,20.4,19.24,33.50,53.56
AR,SALINE COUNTY,7.2,9.3,9.60,14.00,29.19
AR,SCOTT COUNTY,18.2,21.9,23.89,31.40,60.26
AR,SEARCY COUNTY,23.8,29.9,30.60,41.80,64.45
AR,SEBASTIAN COUNTY,13.6,13.1,13.31,16.90,31.15
AR,SEVIER COUNTY,19.2,18.6,17.07,22.90,43.14
AR,SHARP COUNTY,18.2,21.8,23.66,30.80,62.54
AR,ST. FRANCIS COUNTY,27.5,36.6,33.78,42.80,69.73
AR,STONE COUNTY,18.9,26.0,30.23,47.30,67.60
AR,UNION COUNTY,18.7,22.0,20.15,24.90,36.65
AR,VAN BUREN COUNTY,15.4,22.2,19.49,34.70,62.79
AR,WASHINGTON COUNTY,14.6,14.6,14.89,18.30,34.67
AR,WHITE COUNTY,14.0,18.7,18.46,27.30,46.87
AR,WOODRUFF COUNTY,27.0,34.5,32.93,43.10,66.28
AR,YELL COUNTY,15.4,17.1,19.77,21.70,53.02
CA,CALIFORNIA STATE,14.2,12.5,11.37,11.10,14.44
CA,ALAMEDA COUNTY,11.0,10.6,11.28,11.40,14.42
CA,ALPINE COUNTY,19.5,18.1,18.79,9.80,32.71
CA,AMADOR COUNTY,9.2,8.4,9.00,10.30,16.58
CA,BUTTE COUNTY,19.8,18.9,14.99,17.30,19.17
CA,CALAVERAS COUNTY,11.8,10.1,10.09,11.90,15.03
CA,COLUSA COUNTY,16.1,13.3,10.68,12.70,22.05
CA,CONTRA COSTA COUNTY,7.6,7.3,7.57,7.60,10.61
CA,DEL NORTE COUNTY,20.2,15.7,12.65,12.30,14.37
CA,EL DORADO COUNTY,7.1,7.7,8.74,11.60,11.41
CA,FRESNO COUNTY,22.9,21.4,14.50,18.90,23.93
CA,GLENN COUNTY,18.1,17.4,13.08,13.00,18.74
CA,HUMBOLDT COUNTY,19.5,17.6,14.26,13.40,12.84
CA,IMPERIAL COUNTY,22.6,23.8,15.27,20.20,26.20
CA,INYO COUNTY,12.6,11.9,10.22,10.00,18.16
CA,KERN COUNTY,20.8,16.9,12.61,16.10,21.32
CA,KINGS COUNTY,19.5,18.2,14.57,19.20,30.91
CA,LAKE COUNTY,17.6,15.3,13.29,18.50,22.33
CA,LASSEN COUNTY,14.0,13.3,10.25,8.90,13.99
CA,LOS ANGELES COUNTY,17.9,15.1,13.42,10.90,13.02
CA,MADERA COUNTY,21.4,17.5,15.71,21.40,29.72
CA,MARIN COUNTY,6.6,5.2,6.95,6.60,8.65
CA,MARIPOSA COUNTY,14.8,12.7,11.55,13.30,24.86
CA,MENDOCINO COUNTY,15.9,14.2,12.35,14.30,17.90
CA,MERCED COUNTY,21.7,19.9,14.69,16.90,26.62
CA,MODOC COUNTY,21.5,15.0,14.48,14.40,14.06
CA,MONO COUNTY,11.5,9.9,11.22,13.70,8.84
CA,MONTEREY COUNTY,13.5,11.6,11.38,12.50,19.66
CA,NAPA COUNTY,8.3,6.9,8.13,9.80,12.72
CA,NEVADA COUNTY,8.1,7.7,8.74,12.50,17.73
CA,ORANGE COUNTY,10.3,8.5,7.28,6.50,10.41
CA,PLACER COUNTY,5.8,7.1,8.65,11.70,14.81
CA,PLUMAS COUNTY,13.1,11.9,9.66,11.40,17.15
CA,RIVERSIDE COUNTY,14.2,11.5,11.26,13.60,18.89
CA,SACRAMENTO COUNTY,14.1,12.5,11.24,10.60,11.01
CA,SAN BENITO COUNTY,10.0,9.5,12.98,13.60,22.62
CA,SAN BERNARDINO COUNTY,15.8,12.7,11.08,12.20,16.87
CA,SAN DIEGO COUNTY,12.4,11.3,11.28,10.90,14.77
CA,SAN FRANCISCO COUNTY,11.3,12.7,13.71,14.00,15.50
CA,SAN JOAQUIN COUNTY,17.7,15.7,13.32,14.40,19.50
CA,SAN LUIS OBISPO COUNTY,12.8,13.0,13.69,15.50,19.18
CA,SAN MATEO COUNTY,5.8,6.3,6.09,5.70,7.02
CA,SANTA BARBARA COUNTY,14.3,12.8,10.59,11.60,13.21
CA,SANTA CLARA COUNTY,7.5,7.5,7.13,7.60,10.58
CA,SANTA CRUZ COUNTY,11.9,10.7,12.21,14.50,20.80
CA,SHASTA COUNTY,15.4,13.7,10.91,12.70,15.46
CA,SIERRA COUNTY,11.3,9.2,12.95,14.80,14.48
CA,SISKIYOU COUNTY,18.6,14.0,12.14,12.10,14.79
CA,SOLANO COUNTY,8.3,7.5,9.42,11.40,16.38
CA,SONOMA COUNTY,8.1,7.6,9.53,13.40,18.58
CA,STANISLAUS COUNTY,16.0,14.1,11.93,14.80,22.36
CA,SUTTER COUNTY,15.5,15.4,11.27,11.10,18.29
CA,TEHAMA COUNTY,17.3,15.3,12.87,13.30,17.46
CA,TRINITY COUNTY,18.7,18.5,11.44,12.90,11.12
CA,TULARE COUNTY,23.9,22.6,16.45,19.30,28.44
CA,TUOLUMNE COUNTY,11.4,9.1,11.86,11.60,16.14
CA,VENTURA COUNTY,9.2,8.01,9.30,,
CA,YOLO COUNTY,18.4,17.4,15.85,15.80,14.92
CA,YUBA COUNTY,20.8,19.5,16.13,17.80,21.41
CO,COLORADO STATE,9.3,11.7,10.12,12.30,18.31
CO,ADAMS COUNTY,8.9,10.4,7.60,6.80,11.77
CO,ALAMOSA COUNTY,21.3,24.8,21.23,21.50,29.91
CO,ARAPAHOE COUNTY,5.8,5.9,4.60,5.90,9.57
CO,ARCHULETA COUNTY,11.7,16.9,18.59,17.50,47.86
CO,BACA COUNTY,16.9,19.0,20.63,22.30,30.70
CO,BENT COUNTY,19.5,20.4,12.88,22.00,28.98
CO,BOULDER COUNTY,9.5,11.0,10.10,10.10,15.13
CO,CHAFFEE COUNTY,11.7,14.3,7.83,12.30,23.41
CO,CHEYENNE COUNTY,11.1,11.6,17.90,21.10,20.30
CO,CLEAR CREEK COUNTY,5.4,9.5,5.85,8.20,10.54
CO,CONEJOS COUNTY,23.0,33.9,30.45,42.00,52.99
CO,COSTILLA COUNTY,26.8,34.6,36.14,36.00,62.78
CO,CROWLEY COUNTY,18.5,23.8,17.09,23.60,37.81
CO,CUSTER COUNTY,13.3,18.4,18.52,22.30,34.61
CO,DELTA COUNTY,12.1,17.8,14.47,23.00,33.08
CO,DENVER COUNTY,14.3,17.1,13.70,13.80,16.37
CO,DOLORES COUNTY,13.1,14.5,22.74,9.60,19.12
CO,DOUGLAS COUNTY,2.1,3.2,4.12,8.60,16.16
CO,EAGLE COUNTY,7.8,7.5,9.36,10.50,31.91
CO,EL PASO COUNTY,8.0,10.4,10.30,11.40,16.73
CO,ELBERT COUNTY,4.0,6.9,7.35,13.20,29.73
CO,FREMONT COUNTY,11.7,16.1,13.40,17.70,25.01
CO,GARFIELD COUNTY,7.5,9.3,8.89,11.30,15.41
CO,GILPIN COUNTY,4.0,10.6,9.96,19.30,12.76
CO,GRAND COUNTY,7.3,9.3,8.59,11.90,20.38
CO,GUNNISON COUNTY,15.0,16.2,18.06,19.30,24.45
CO,HINSDALE COUNTY,7.2,13.9,11.11,15.30,6.94
CO,HUERFANO COUNTY,18.0,25.7,20.19,28.30,43.13
CO,JACKSON COUNTY,14.0,10.0,8.52,6.40,12.13
CO,JEFFERSON COUNTY,5.2,5.8,4.58,5.40,8.57
CO,KIOWA COUNTY,12.2,13.8,14.56,14.40,17.82
CO,KIT CARSON COUNTY,12.1,15.2,18.17,17.50,21.31
CO,LA PLATA COUNTY,11.7,15.7,13.86,18.50,24.92
CO,LAKE COUNTY,12.9,12.3,4.52,8.40,16.32
CO,LARIMER COUNTY,9.2,12.0,10.96,13.60,21.04
CO,LAS ANIMAS COUNTY,17.3,20.41,28.30,,
CO,LINCOLN COUNTY,11.7,17.9,12.82,16.20,18.22
CO,LOGAN COUNTY,12.2,14.9,10.70,14.30,16.51
CO,MESA COUNTY,10.2,15.1,9.74,15.10,19.57
CO,MINERAL COUNTY,10.2,13.1,8.46,12.40,16.75
CO,MOFFAT COUNTY,8.3,11.1,5.56,15.60,14.87
CO,MONTEZUMA COUNTY,16.4,20.2,14.63,19.20,27.12
CO,MONTROSE COUNTY,12.6,14.2,10.39,19.30,26.24
CO,MORGAN COUNTY,12.4,16.0,11.72,17.90,22.69
CO,OTERO COUNTY,18.8,23.9,20.27,22.20,29.99
CO,OURAY COUNTY,7.2,9.6,12.36,15.20,25.34
CO,PARK COUNTY,5.6,9.4,11.92,24.30,16.02
CO,PHILLIPS COUNTY,11.6,14.1,13.45,20.00,17.19
CO,PITKIN COUNTY,6.2,6.3,9.70,11.20,18.23
CO,PROWERS COUNTY,19.5,21.0,18.58,25.30,29.38
CO,PUEBLO COUNTY,14.9,20.2,13.68,14.30,21.21
CO,RIO BLANCO COUNTY,9.6,13.6,5.89,12.80,12.30
CO,RIO GRANDE COUNTY,14.5,23.8,18.90,23.00,38.73
CO,ROUTT COUNTY,6.1,9.8,7.12,16.20,22.79
CO,SAGUACHE COUNTY,22.6,30.6,26.76,41.60,48.80
CO,SAN JUAN COUNTY,20.9,12.9,11.40,8.50,29.47
CO,SAN MIGUEL COUNTY,10.4,11.4,16.69,13.50,19.40
CO,SEDGWICK COUNTY,10.0,11.5,9.83,16.40,18.86
CO,SUMMIT COUNTY,9.0,7.8,8.25,12.10,10.28
CO,TELLER COUNTY,5.4,10.1,11.35,15.70,21.13
CO,WASHINGTON COUNTY,11.4,15.7,16.48,16.30,19.93
CO,WELD COUNTY,12.5,15.4,14.11,17.40,24.87
CO,YUMA COUNTY,12.9,13.3,17.79,18.80,25.74
CT,CONNECTICUT STATE,7.9,6.8,8.03,7.20,9.57
CT,FAIRFIELD COUNTY,6.9,6.1,7.47,6.20,9.17
CT,HARTFORD COUNTY,9.3,7.9,8.16,6.80,8.67
CT,LITCHFIELD COUNTY,4.5,4.0,5.24,6.50,10.04
CT,MIDDLESEX COUNTY,4.6,4.0,6.42,6.30,9.03
CT,NEW HAVEN COUNTY,9.5,7.9,9.38,8.10,9.91
CT,NEW LONDON COUNTY,6.4,6.4,8.25,9.80,12.03
CT,TOLLAND COUNTY,5.6,4.7,5.97,6.10,8.95
CT,WINDHAM COUNTY,8.5,8.0,9.51,8.60,13.26
DE,DELAWARE STATE,9.2,8.7,11.85,10.90,16.92
DE,KENT COUNTY,10.7,11.3,13.62,15.40,24.28
DE,NEW CASTLE COUNTY,8.4,7.5,11.00,9.00,12.87
DE,SUSSEX COUNTY,10.5,10.7,13.57,15.80,27.66
DC,DISTRICT OF COLUMBIA STATE,20.2,16.9,17.00,22.22,
DC,DISTRICT OF COLUMBIA COUNTY,,,18.57,,
FL,FLORIDA STATE,12.5,12.7,13.46,16.40,28.36
FL,ALACHUA COUNTY,22.8,23.5,23.55,22.10,34.47
FL,BAKER COUNTY,14.7,15.9,16.63,22.40,51.25
FL,BAY COUNTY,13.0,14.4,16.17,18.40,30.75
FL,BRADFORD COUNTY,14.6,15.8,19.80,23.80,42.23
FL,BREVARD COUNTY,9.5,9.1,9.70,9.80,17.65
FL,BROWARD COUNTY,11.5,10.2,9.10,10.70,24.07
FL,CALHOUN COUNTY,20.0,18.8,23.68,38.20,57.24
FL,CHARLOTTE COUNTY,8.2,7.5,8.91,12.90,25.59
FL,CITRUS COUNTY,11.7,12.6,13.61,24.00,44.91
FL,CLAY COUNTY,6.8,7.1,9.99,16.70,35.84
FL,COLLIER COUNTY,10.3,10.5,13.62,16.00,30.95
FL,COLUMBIA COUNTY,15.0,20.6,19.67,24.30,46.18
FL,DESOTO COUNTY,23.6,19.3,21.08,20.70,43.44
FL,DIXIE COUNTY,19.1,27.4,25.16,28.20,48.15
FL,DUVAL COUNTY,11.9,12.8,15.84,17.60,26.28
FL,ESCAMBIA COUNTY,15.4,17.0,17.40,18.80,27.58
FL,FLAGLER COUNTY,8.7,9.3,15.46,28.70,46.24
FL,FRANKLIN COUNTY,17.7,26.6,28.25,39.50,58.89
FL,GADSDEN COUNTY,19.9,28.0,32.64,40.50,60.59
FL,GILCHRIST COUNTY,14.1,17.5,19.26,24.20,54.48
FL,GLADES COUNTY,15.2,14.0,20.98,24.30,38.73
FL,GULF COUNTY,16.7,17.1,21.28,23.20,34.70
FL,HAMILTON COUNTY,26.0,27.8,26.59,38.70,60.65
FL,HARDEE COUNTY,24.6,22.8,25.80,31.20,43.96
FL,HENDRY COUNTY,24.1,18.9,21.51,19.90,35.62
FL,HERNANDO COUNTY,10.3,11.0,13.43,25.30,43.97
FL,HIGHLANDS COUNTY,15.2,15.2,18.82,25.10,35.32
FL,HILLSBOROUGH COUNTY,12.5,13.3,14.05,16.10,27.97
FL,HOLMES COUNTY,19.1,24.6,26.93,34.30,62.14
FL,INDIAN RIVER COUNTY,9.3,8.7,12.30,19.10,30.57
FL,JACKSON COUNTY,17.2,22.6,22.98,35.90,52.61
FL,JEFFERSON COUNTY,17.1,22.5,28.35,41.30,60.47
FL,LAFAYETTE COUNTY,17.5,23.8,21.36,30.50,39.96
FL,LAKE COUNTY,9.6,11.0,13.97,22.50,38.41
FL,LEE COUNTY,9.7,9.2,11.02,14.50,30.49
FL,LEON COUNTY,18.2,17.0,17.85,19.50,31.82
FL,LEVY COUNTY,18.6,20.7,20.77,27.50,52.09
FL,LIBERTY COUNTY,19.9,16.6,22.11,30.80,49.62
FL,MADISON COUNTY,23.1,25.9,30.21,39.30,59.24
FL,MANATEE COUNTY,10.1,10.2,11.03,17.30,32.10
FL,MARION COUNTY,13.1,14.6,17.89,24.70,44.20
